"","Id","Adp"
"1","9448","2.64"
"2","9054","3.41"
"3","8657","6.35"
"4","9122","6.94"
"5","11201","8.8"
"6","9884","9.67"
"7","3291","9.83"
"8","9925","10.55"
"9","9823","13.01"
"10","10261","13.51"
"11","7836","14.39"
"12","8670","15.18"
"13","4925","15.58"
"14","10271","16.53"
"15","10302","18.7"
"16","11193","21.38"
"17","9118","22.99"
"18","9988","23.86"
"19","10722","24.86"
"20","10709","26.15"
"21","9690","26.23"
"22","11192","27.59"
"23","10308","28.78"
"24","10372","28.91"
"25","9902","30.15"
"26","10870","33.7"
"27","10695","34.46"
"28","11189","34.52"
"29","11222","35.14"
"30","9431","35.8"
"31","8243","38.93"
"32","9250","42.12"
"33","7873","42.62"
"34","6931","42.92"
"35","7393","43.89"
"36","9822","44.56"
"37","11225","46.17"
"38","7839","49.08"
"39","10303","51.24"
"40","9427","51.31"
"41","9441","51.48"
"42","10699","53.62"
"43","9851","54.44"
"44","9075","55.44"
"45","10721","56.16"
"46","5848","56.77"
"47","10352","56.86"
"48","9880","57.03"
"49","8247","57.94"
"50","10729","58.79"
"51","9680","61.53"
"52","10272","61.71"
"53","7877","63.29"
"54","9662","63.92"
"55","7653","64"
"56","9099","64.75"
"57","10773","64.98"
"58","9907","65.36"
"59","11653","66.29"
"60","10289","66.56"
"61","10273","67.23"
"62","9078","67.45"
"63","6997","69.95"
"64","9436","70.67"
"65","9918","70.86"
"66","10706","71.18"
"67","10048","71.85"
"68","10768","72.92"
"69","0515","76.27"
"70","10269","78.02"
"71","8493","78.67"
"72","11670","79.15"
"73","9525","80.47"
"74","10297","81.11"
"75","10720","82.26"
"76","11248","83.35"
"77","9881","83.62"
"78","8252","84.62"
"79","10696","85.11"
"80","10703","85.68"
"81","10312","86.22"
"82","8687","88.82"
"83","7260","89.3"
"84","9831","90.43"
"85","4923","90.63"
"86","8301","92.66"
"87","9933","94.07"
"88","11211","94.51"
"89","7394","100.15"
"90","10753","100.18"
"91","11671","100.99"
"92","11247","101.14"
"93","10708","101.32"
"94","10775","102.31"
"95","7414","102.76"
"96","7942","103.3"
"97","0530","104.02"
"98","11673","104.23"
"99","11657","108.87"
"100","0527","109.77"
"101","10313","110.91"
"102","11232","110.99"
"103","11293","111.25"
"104","8934","112.59"
"105","8667","112.73"
"106","7423","114.15"
"107","9964","116.42"
"108","10725","117.41"
"109","9044","118.2"
"110","9847","118.85"
"111","9439","119.22"
"112","8359","120.34"
"113","11660","121.13"
"114","10713","121.15"
"115","7401","121.5"
"116","10267","121.95"
"117","6982","122.1"
"118","0528","122.25"
"119","0511","123.35"
"120","9829","123.47"
"121","11213","123.87"
"122","10744","125.06"
"123","10362","125.32"
"124","11654","127.76"
"125","0512","128.11"
"126","9450","128.56"
"127","9833","129.03"
"128","10783","129.7"
"129","0506","130.85"
"130","10276","131.02"
"131","11746","131.18"
"132","10807","131.8"
"133","10409","132"
"134","10074","132.51"
"135","11676","132.79"
"136","11695","133.19"
"137","9308","133.97"
"138","9087","135.01"
"139","8268","135.29"
"140","0504","137.04"
"141","8930","137.54"
"142","11179","138.28"
"143","10314","139.14"
"144","11229","139.39"
"145","0519","140.03"
"146","7236","140.49"
"147","9816","142.55"
"148","11658","143.16"
"149","11227","143.36"
"150","11457","143.93"
"151","9319","143.94"
"152","10976","144.05"
"153","10697","144.31"
"154","10292","144.97"
"155","8713","145.5"
"156","7813","146.17"
"157","9425","146.32"
"158","7842","146.59"
"159","10982","147.39"
"160","8293","147.4"
"161","7823","148.26"
"162","11466","148.45"
"163","4974","148.92"
"164","8258","150.52"
"165","10930","151.02"
"166","9877","151.98"
"167","7391","152.07"
"168","9064","152.17"
"169","10393","152.7"
"170","9446","153.21"
"171","0532","153.9"
"172","8742","154.25"
"173","11672","155.17"
"174","9051","155.22"
"175","9545","155.36"
"176","10260","155.72"
"177","11722","156.23"
"178","8242","158.21"
"179","8776","158.44"
"180","11244","159.01"
"181","11347","159.01"
"182","11728","159.05"
"183","10742","159.28"
"184","11650","159.42"
"185","3494","159.45"
"186","11194","159.92"
"187","0521","160.57"
"188","8416","160.9"
"189","10506","161.1"
"190","9467","161.18"
"191","8376","161.8"
"192","8684","163.46"
"193","10077","163.85"
"194","2842","164.36"
"195","9898","164.55"
"196","9101","164.6"
"197","11679","165.15"
"198","9864","165.19"
"199","11721","165.39"
"200","6589","166.42"
"201","0529","166.47"
"202","10527","167.78"
"203","0507","168.21"
"204","7516","169.04"
"205","0501","169.26"
"206","11758","170.59"
"207","11324","170.75"
"208","11640","170.81"
"209","0525","170.95"
"210","0523","171.61"
"211","9868","171.61"
"212","11267","171.63"
"213","10782","171.76"
"214","10743","172.05"
"215","10961","172.81"
"216","0531","173.57"
"217","10872","173.6"
"218","11642","174.65"
"219","11747","174.73"
"220","9458","174.98"
"221","0510","175.41"
"222","10601","175.75"
"223","9815","176.1"
"224","8153","176.84"
"225","9825","177.48"
"226","7820","177.49"
"227","9517","178.45"
"228","11526","178.59"
"229","11228","179"
"230","6789","180.33"
"231","6475","180.43"
"232","11154","181.18"
"233","8144","181.43"
"234","11675","182.09"
"235","9474","182.66"
"236","10975","183.16"
"237","9929","183.4"
"238","11652","183.66"
"239","5666","184.29"
"240","9936","184.54"
"241","10277","184.68"
"242","9947","184.69"
"243","11150","185"
"244","11966","186.33"
"245","11696","186.59"
"246","11283","187.11"
"247","0518","187.31"
"248","9464","187.77"
"249","0517","188.38"
"250","9987","188.47"
"251","11656","188.68"
"252","0505","190.34"
"253","10812","190.37"
"254","9144","190.63"
"255","10905","190.66"
"256","11785","191.11"
"257","10355","191.38"
"258","7429","191.41"
"259","10868","192.23"
"260","10815","192.67"
"261","0522","192.83"
"262","11313","193.39"
"263","1600","193.94"
"264","0502","194.35"
"265","11783","195.53"
"266","11677","196.12"
"267","0524","196.2"
"268","10365","197.12"
"269","11644","197.12"
"270","9269","197.41"
"271","8851","197.6"
"272","11454","197.62"
"273","7194","197.68"
"274","9456","197.92"
"275","8275","198.41"
"276","11198","198.46"
"277","8677","198.62"
"278","11947","199.77"
"279","0503","200.14"
"280","11866","200.39"
"281","9843","200.42"
"282","11432","200.53"
"283","10300","200.59"
"284","11440","200.66"
"285","7498","201.55"
"286","9565","201.97"
"287","10723","203.1"
"288","9299","203.16"
"289","7480","204.49"
"290","7859","205.44"
"291","8160","205.69"
"292","9084","206.21"
"293","0516","206.71"
"294","8838","208.63"
"295","11688","208.99"
"296","9686","209.97"
"297","11925","210.27"
"298","7886","210.57"
"299","0520","210.87"
"300","0514","210.94"
"301","11784","211.43"
"302","9927","211.57"
"303","11668","213.13"
"304","9694","214.69"
"305","11680","215.98"
"306","10388","217.14"
"307","0508","218.08"
"308","11834","218.1"
"309","11390","218.28"
"310","4891","218.43"
"311","11663","221.06"
"312","10674","221.82"
"313","9714","222.5"
"314","10714","222.69"
"315","11384","222.95"
"316","8269","223.54"
"317","9960","224.06"
"318","11231","225.36"
"319","11659","225.43"
"320","4883","225.77"
"321","11252","226.09"
"322","0509","226.35"
"323","11176","227.68"
"324","11076","228.61"
"325","9073","231.09"
"326","7150","231.12"
"327","9347","231.76"
"328","9050","232.35"
"329","11651","233.56"
"330","11481","235.42"
"331","10710","236.29"
"332","9838","236.71"
"333","10700","237.64"
"334","9315","239.18"
"335","10929","239.93"
"336","8117","240.97"
"337","8735","243.98"
"338","11226","245.38"
"339","9040","248.07"
"340","9120","248.67"
"341","11870","249.7"
"342","8178","250.23"
"343","11188","250.71"
"344","10301","253.9"
"345","11698","253.91"
"346","10800","258.2"
"347","11251","258.25"
"348","11258","258.65"
"349","11409","259.62"
"350","9150","260.79"
"351","10392","268.19"
